Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag10393	37	AAA280P20_00550	Glycine--tRNA ligase alpha subunit	
pelag10394	37	AAA280P20_00557	Chorismate synthase	
pelag10395	37	AAA280P20_00676	hypothetical protein	
pelag10396	37	AAA280P20_00677	Glutaredoxin-4	
pelag10397	37	AAA280P20_00679	putative tRNA/rRNA methyltransferase	
pelag10398	37	Pelagibacter_AAA795-J21_00496	Sporulation kinase E	
pelag10399	37	AAA280P20_00756	Histone deacetylase-like amidohydrolase	
pelag10400	37	AAA288N07_00975	Dimethylsulfonioproprionate demethylase DmdA	
pelag10401	37	HIMB058_00504	N(1)-aminopropylagmatine ureohydrolase	
pelag10402	37	AAA288G21_00572	Alginate biosynthesis protein AlgA	
pelag10403	37	AAA288G21_00573	Dihydroxy-acid dehydratase	
pelag10404	37	AAA288G21_00605	Adenine phosphoribosyltransferase	
pelag10405	37	AAA288N07_00803	Trk system potassium uptake protein TrkA	
pelag10406	37	AAA288N07_00810	Lipoyl synthase	
pelag10407	37	HIMB058_00549	15-cis-phytoene desaturase	
pelag10408	37	HIMB058_00651	Arginine biosynthesis bifunctional protein ArgJ	
pelag10409	36	AAA288N07_00667	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	
pelag10410	36	Pelagibacter_AAA795-E22_00309	Anthranilate synthase component 2	
pelag10411	36	HIMB083_00890	tRNA modification GTPase MnmE	
pelag10412	36	AAA024N17_00048	Glycerate dehydrogenase	
pelag10413	36	AAA280P20_00705	Aspartate aminotransferase	
pelag10414	36	AAA024N17_00103	Dihydroorotase	
pelag10415	36	AAA024N17_00123	Biopolymer transport protein ExbB	
pelag10416	36	AAA024N17_00124	Biopolymer transport protein ExbD	
pelag10417	36	AAA024N17_00142	Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific)	
pelag10418	36	AAA024N17_00147	Aspartate--tRNA ligase	
pelag10419	36	AAA024N17_00148	Vitamin B12-dependent ribonucleotide reductase	
pelag10420	36	AAA024N17_00150	Biotin carboxylase	
pelag10421	36	AAA024N17_00151	Biotin carboxyl carrier protein of acetyl-CoA carboxylase	
pelag10422	36	AAA024N17_00160	Putative aminoacrylate hydrolase RutD	
pelag10423	36	AAA024N17_00180	NADH-quinone oxidoreductase subunit L	
pelag10424	36	Pelagibacter_AAA795-N08_00133	NADH-quinone oxidoreductase subunit N	
pelag10425	36	AAA024N17_00181	NADH-quinone oxidoreductase subunit K	
pelag10426	36	AAA024N17_00182	NADH-quinone oxidoreductase subunit J	
pelag10427	36	AAA024N17_00192	hypothetical protein	
pelag10428	36	AAA024N17_00193	Quinone oxidoreductase 1	
pelag10429	36	Pelagibacter_AAA795-P11_00030	Putative lipid II flippase FtsW	
pelag10430	36	AAA024N17_00220	Iron-binding protein IscA	
pelag10431	36	AAA024N17_00221	Putative 1,2-phenylacetyl-CoA epoxidase, subunit D	
pelag10432	36	AAA024N17_00222	Iron-sulfur cluster assembly scaffold protein IscU	
pelag10433	36	AAA024N17_00224	FeS cluster assembly protein SufD	
pelag10434	36	AAA024N17_00225	putative ATP-dependent transporter SufC	
pelag10435	36	AAA280B11_00512	Aspartate carbamoyltransferase	
pelag10436	36	AAA024N17_00248	Shikimate dehydrogenase (NADP(+))	
pelag10437	36	AAA280P20_00614	ATP-dependent DNA helicase RecG	
pelag10438	36	AAA288N07_00775	Transcriptional regulatory protein OmpR	
pelag10439	36	AAA288N07_00482	Methionyl-tRNA formyltransferase	
pelag10440	36	AAA024N17_00346	Phosphoribosylformylglycinamidine cyclo-ligase	
pelag10441	36	AAA024N17_00359	Anthranilate synthase component 1	
pelag10442	36	AAA280B11_00017	Modification methylase DpnIIB	
pelag10443	36	AAA280B11_00019	A/G-specific adenine glycosylase	
pelag10444	36	AAA280B11_00023	ATP synthase protein I	
pelag10445	36	AAA280B11_00034	hypothetical protein	
pelag10446	36	AAA280B11_00042	Ribosomal RNA small subunit methyltransferase E	
pelag10447	36	AAA280B11_00043	4-hydroxybenzoate octaprenyltransferase	
pelag10448	36	AAA280B11_00046	3-deoxy-D-manno-octulosonic acid transferase	
pelag10449	36	AAA280B11_00066	Vitamin B12-dependent ribonucleoside-diphosphate reductase	
pelag10450	36	AAA280B11_00077	tRNA-dihydrouridine synthase A	
pelag10451	36	AAA280B11_00086	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase	
pelag10452	36	AAA280B11_00118	hypothetical protein	
pelag10453	36	AAA280B11_00124	Threonylcarbamoyl-AMP synthase	
pelag10454	36	AAA280B11_00133	Phenylalanine--tRNA ligase alpha subunit	
pelag10455	36	AAA280B11_00134	50S ribosomal protein L20	
pelag10456	36	Pelagibacter_AAA795-F16_00452	Proline--tRNA ligase	
pelag10457	36	AAA280B11_00139	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase	
pelag10458	36	AAA280B11_00141	Glutamate synthase [NADPH] large chain	
pelag10459	36	AAA280B11_00149	Methionine gamma-lyase	
pelag10460	36	AAA280B11_00195	Beta-barrel assembly-enhancing protease	
pelag10461	36	AAA280B11_00206	Homoserine dehydrogenase	
pelag10462	36	HIMB058_00410	DNA gyrase subunit A	
pelag10463	36	AAA280B11_00263	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta	
pelag10464	36	AAA280B11_00306	Leucine--tRNA ligase	
pelag10465	36	AAA280B11_00310	Chromosome partitioning protein ParA	
pelag10466	36	AAA280B11_00311	Ribosomal RNA small subunit methyltransferase G	
pelag10467	36	AAA280B11_00317	Outer-membrane lipoprotein carrier protein	
pelag10468	36	AAA280B11_00318	hypothetical protein	
pelag10469	36	AAA280B11_00319	HIT-like protein	
pelag10470	36	AAA280B11_00351	Ribosomal large subunit pseudouridine synthase D	
pelag10471	36	AAA280B11_00628	Deoxyuridine 5'-triphosphate nucleotidohydrolase	
pelag10472	36	AAA280B11_00631	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase	
pelag10473	36	AAA280B11_00703	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase	
pelag10474	36	AAA280B11_00763	Peptide deformylase	
pelag10475	36	AAA280P20_00082	30S ribosomal protein S7	
pelag10476	36	AAA280P20_00085	DNA-directed RNA polymerase subunit beta	
pelag10477	36	AAA280P20_00115	Glutamine synthetase	
pelag10478	36	AAA280P20_00289	Endonuclease YhcR	
pelag10479	36	AAA280P20_00333	hypothetical protein	
pelag10480	36	AAA280P20_00415	Fructose-bisphosphate aldolase class 1	
pelag10481	36	AAA280P20_00463	Glutamate--cysteine ligase GshA	
pelag10482	36	AAA280P20_00494	Glutamate 5-kinase	
pelag10483	36	AAA280P20_00525	Shikimate kinase	
pelag10484	36	AAA280P20_00551	putative protease SohB	
pelag10485	36	AAA280P20_00553	Tryptophan-rich protein TspO	
pelag10486	36	AAA280P20_00674	Phosphoribosylformylglycinamidine synthase subunit PurQ	
pelag10487	36	AAA280P20_00678	30S ribosomal protein S4	
pelag10488	36	AAA280P20_00710	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase	
pelag10489	36	AAA280P20_00715	hypothetical protein	
pelag10490	36	AAA280P20_00723	putative glycine dehydrogenase (decarboxylating)	
pelag10491	36	AAA280P20_00736	Osmolarity sensor protein EnvZ	
pelag10492	36	AAA280P20_00755	tRNA pseudouridine synthase A	
pelag10493	36	AAA288G21_00105	hypothetical protein	
pelag10494	36	AAA288G21_00402	Ribonuclease J1	
pelag10495	36	AAA288G21_00795	Membrane protein insertase YidC	
pelag10496	36	AAA288G21_00834	Phosphatidylglycerophosphatase A	
pelag10497	36	HIMB058_00547	Cyclopropane-fatty-acyl-phospholipid synthase	
pelag10498	36	AAA288N07_00801	Trk system potassium uptake protein TrkG	
pelag10499	36	AAA288N07_00808	Nicotinamide-nucleotide amidohydrolase PncC	
pelag10500	36	AAA288N07_00809	Persistence and stress-resistance toxin PasT	
pelag10501	36	AAA288N07_00842	Trk system potassium uptake protein TrkI	
pelag10502	36	HIMB058_00518	hypothetical protein	
pelag10503	36	HIMB058_00567	hypothetical protein	
pelag10504	36	HIMB058_00811	AP-4-A phosphorylase	
pelag10505	35	AAA024N17_00001	Protein RecA	
pelag10506	35	AAA024N17_00003	Pantothenate kinase	
pelag10507	35	AAA288G21_00276	2-hydroxychromene-2-carboxylate isomerase	
pelag10508	35	AAA024N17_00009	Ferredoxin--NADP reductase	
pelag10509	35	Pelagibacter_AAA795-A08_00211	Thioredoxin reductase	
pelag10510	35	Pelagibacter_AAA795-N17_00490	Glutamate synthase [NADPH] small chain	
pelag10511	35	AAA024N17_00030	30S ribosomal protein S18	
pelag10512	35	AAA024N17_00031	30S ribosomal protein S6	
pelag10513	35	Pelagibacter_AAA795-J21_00158	Glutamyl-tRNA(Gln) amidotransferase subunit A	
pelag10514	35	AAA024N17_00047	hypothetical protein	
pelag10515	35	Pelagibacter_AAA795-L23_00458	Hydroxypyruvate reductase	
pelag10516	35	AAA024N17_00052	Aspartate aminotransferase	
pelag10517	35	AAA024N17_00104	tRNA-modifying protein YgfZ	
pelag10518	35	AAA024N17_00126	Protein TolB	
pelag10519	35	AAA024N17_00128	hypothetical protein	
pelag10520	35	AAA024N17_00129	tRNA(Ile)-lysidine synthase	
pelag10521	35	AAA288N07_00038	Phosphomannomutase/phosphoglucomutase	
pelag10522	35	AAA024N17_00152	3-dehydroquinate dehydratase	
pelag10523	35	AAA024N17_00157	hypothetical protein	
pelag10524	35	AAA024N17_00158	Tyrosine--tRNA ligase	
pelag10525	35	AAA024N17_00183	NADH-quinone oxidoreductase subunit I	
pelag10526	35	AAA024N17_00184	NADH-quinone oxidoreductase subunit H	
pelag10527	35	AAA024N17_00185	NADH-quinone oxidoreductase chain 3	
pelag10528	35	AAA024N17_00186	NADH-quinone oxidoreductase subunit F	
pelag10529	35	AAA024N17_00189	NADH-quinone oxidoreductase chain 5	
pelag10530	35	AAA024N17_00204	ADP-L-glycero-D-manno-heptose-6-epimerase	
pelag10531	35	AAA024N17_00223	putative cysteine desulfurase	
pelag10532	35	AAA024N17_00245	Uroporphyrinogen decarboxylase	
pelag10533	35	AAA024N17_00246	Putative pyruvate, phosphate dikinase regulatory protein	
pelag10534	35	AAA024N17_00290	Lipoprotein-releasing system ATP-binding protein LolD	
pelag10535	35	AAA024N17_00319	Lon protease 2	
pelag10536	35	AAA024N17_00337	Ribulose-phosphate 3-epimerase	
pelag10537	35	AAA280B11_00018	6-hydroxynicotinate 3-monooxygenase	
pelag10538	35	AAA280B11_00020	hypothetical protein	
pelag10539	35	AAA280B11_00085	Pyridoxine/pyridoxamine 5'-phosphate oxidase	
pelag10540	35	AAA280B11_00116	GTP cyclohydrolase 1	
pelag10541	35	AAA280B11_00120	Alcohol dehydrogenase [acceptor]	
pelag10542	35	AAA280B11_00182	putative deoxyribonuclease YcfH	
pelag10543	35	AAA280B11_00205	Fructose-1,6-bisphosphatase class 2	
pelag10544	35	AAA280B11_00210	Heme A synthase	
pelag10545	35	AAA280B11_00280	Ubiquinone biosynthesis O-methyltransferase	
pelag10546	35	AAA280B11_00299	5-dehydro-2-deoxygluconokinase	
pelag10547	35	AAA280B11_00300	Transcriptional activator protein CopR	
pelag10548	35	AAA280B11_00302	hypothetical protein	
pelag10549	35	AAA280B11_00314	Methylated-DNA--protein-cysteine methyltransferase, inducible	
pelag10550	35	AAA280B11_00315	2-octaprenylphenol hydroxylase	
pelag10551	35	AAA280B11_00316	DNA translocase FtsK	
pelag10552	35	AAA280B11_00320	Phosphoribosyl-ATP pyrophosphatase	
pelag10553	35	AAA280B11_00337	hypothetical protein	
pelag10554	35	AAA280B11_00366	hypothetical protein	
pelag10555	35	Pelagibacter_AAA795-A08_00102	Long-chain-fatty-acid--CoA ligase FadD15	
pelag10556	35	AAA280B11_00513	Putative Holliday junction resolvase	
pelag10557	35	AAA280B11_00514	Glutamyl-tRNA(Gln) amidotransferase subunit C	
pelag10558	35	AAA280B11_00518	Thiosulfate sulfurtransferase GlpE	
pelag10559	35	AAA280B11_00576	Leucine-, isoleucine-, valine-, threonine-, and alanine-binding protein	
pelag10560	35	AAA280B11_00620	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag10561	35	Pelagibacter_AAA795-K18_00152	Glucose 1-dehydrogenase 4	
pelag10562	35	AAA280B11_00705	UDP-N-acetylmuramoylalanine--D-glutamate ligase	
pelag10563	35	AAA280P20_00336	Apolipoprotein N-acyltransferase	
pelag10564	35	AAA280P20_00338	PhoH-like protein	
pelag10565	35	AAA280P20_00339	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	
pelag10566	35	AAA280P20_00414	Thiamine-phosphate synthase	
pelag10567	35	AAA280P20_00527	hypothetical protein	
pelag10568	35	AAA280P20_00556	Pyridoxine/pyridoxamine 5'-phosphate oxidase	
pelag10569	35	AAA280P20_00615	Peptide antibiotic transporter SbmA	
pelag10570	35	AAA280P20_00618	Phospho-N-acetylmuramoyl-pentapeptide-transferase	
pelag10571	35	AAA280P20_00623	Ribosomal RNA small subunit methyltransferase H	
pelag10572	35	AAA280P20_00670	Adenylosuccinate lyase	
pelag10573	35	AAA280P20_00672	Phosphoribosylaminoimidazole-succinocarboxamide synthase	
pelag10574	35	AAA280P20_00702	hypothetical protein	
pelag10575	35	AAA280P20_00706	UvrABC system protein B	
pelag10576	35	AAA280P20_00708	D-erythro-7,8-dihydroneopterin triphosphate epimerase	
pelag10577	35	AAA280P20_00713	UvrABC system protein A	
pelag10578	35	AAA280P20_00716	hypothetical protein	
pelag10579	35	AAA280P20_00729	putative helicase HelY	
pelag10580	35	AAA280P20_00772	Putative membrane protein insertion efficiency factor	
pelag10581	35	AAA288G21_00149	Glyceraldehyde-3-phosphate dehydrogenase 2	
pelag10582	35	AAA288G21_00152	hypothetical protein	
pelag10583	35	AAA288G21_00365	hypothetical protein	
pelag10584	35	AAA288G21_00589	Purine ribonucleoside efflux pump NepI	
pelag10585	35	HIMB058_00552	Aminomethyltransferase	
pelag10586	35	AAA288G21_00796	hypothetical protein	
pelag10587	35	AAA288G21_00830	Small heat shock protein IbpA	
pelag10588	35	AAA288G21_00887	FeS cluster assembly protein SufB	
pelag10589	35	AAA288G21_00898	hypothetical protein	
pelag10590	35	AAA288N07_00088	putative inner membrane transporter YedA	
pelag10591	35	AAA288N07_00475	Enolase-phosphatase E1	
pelag10592	35	AAA288N07_00476	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	
pelag10593	35	HIMB058_00065	Enolase	
pelag10594	35	HIMB058_00069	Triosephosphate isomerase	
pelag10595	35	HIMB058_00070	Peptidyl-prolyl cis-trans isomerase D	
pelag10596	35	HIMB058_00548	hypothetical protein	
pelag10597	35	HIMB058_00702	hypothetical protein	
pelag10598	35	HIMB083_00457	Iron uptake protein A1	
pelag10599	35	HIMB083_01096	hypothetical protein	
pelag10600	34	AAA024N17_00002	Outer membrane efflux protein BepC	
pelag10601	34	AAA024N17_00005	Disulfide-bond oxidoreductase YfcG	
pelag10602	34	AAA024N17_00006	RNA polymerase-binding transcription factor DksA	
pelag10603	34	Pelagibacter_AAA795-F16_00176	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase	
pelag10604	34	AAA024N17_00046	Monocarboxylate 2-oxoacid-binding periplasmic protein	
pelag10605	34	AAA288G21_00344	hypothetical protein	
pelag10606	34	AAA024N17_00068	Inner membrane protein YbhL	
pelag10607	34	Pelagibacter_AAA795-F16_00499	Valine--tRNA ligase	
pelag10608	34	AAA024N17_00102	Acetyl-coenzyme A synthetase	
pelag10609	34	AAA024N17_00125	hypothetical protein	
pelag10610	34	AAA024N17_00127	Outer membrane lipoprotein Omp16	
pelag10611	34	AAA288N07_00035	Citrate synthase	
pelag10612	34	AAA024N17_00145	Chromosomal replication initiator protein DnaA	
pelag10613	34	AAA024N17_00149	hypothetical protein	
pelag10614	34	AAA024N17_00153	Sulfur carrier protein ThiS	
pelag10615	34	AAA024N17_00154	Thiazole synthase	
pelag10616	34	AAA024N17_00156	Peptide chain release factor 2	
pelag10617	34	AAA024N17_00159	Anhydro-N-acetylmuramic acid kinase	
pelag10618	34	AAA024N17_00187	NADH-quinone oxidoreductase chain 2	
pelag10619	34	AAA024N17_00188	NADH-quinone oxidoreductase subunit D	
pelag10620	34	AAA024N17_00190	NADH-quinone oxidoreductase subunit B	
pelag10621	34	AAA024N17_00244	Ferrochelatase	
pelag10622	34	AAA024N17_00261	CCA-adding enzyme	
pelag10623	34	AAA280P20_00689	N-acetyl-gamma-glutamyl-phosphate reductase	
pelag10624	34	AAA024N17_00321	Shikimate dehydrogenase (NADP(+))	
pelag10625	34	AAA280B11_00041	Metalloprotease TldD	
pelag10626	34	AAA280B11_00065	Ribonucleoside-diphosphate reductase subunit beta	
pelag10627	34	AAA280B11_00119	hypothetical protein	
pelag10628	34	AAA280B11_00122	Farnesyl diphosphate synthase	
pelag10629	34	AAA280B11_00135	50S ribosomal protein L35	
pelag10630	34	AAA280B11_00136	Translation initiation factor IF-3	
pelag10631	34	AAA280B11_00143	Undecaprenyl-diphosphatase	
pelag10632	34	AAA280B11_00178	Thymidylate kinase	
pelag10633	34	AAA280B11_00183	Ribonuclease BN	
pelag10634	34	AAA280B11_00184	Spore coat protein SA	
pelag10635	34	AAA280B11_00185	Tyrosine recombinase XerD	
pelag10636	34	AAA280B11_00212	hypothetical protein	
pelag10637	34	AAA280B11_00213	HTH-type transcriptional regulator GlnR	
pelag10638	34	AAA280B11_00214	Integration host factor subunit alpha	
pelag10639	34	AAA280B11_00218	K(+)-insensitive pyrophosphate-energized proton pump	
pelag10640	34	AAA280B11_00219	hypothetical protein	
pelag10641	34	AAA280B11_00220	6,7-dimethyl-8-ribityllumazine synthase 1	
pelag10642	34	AAA280B11_00294	Chaperone protein DnaK	
pelag10643	34	AAA280B11_00297	4-hydroxy-tetrahydrodipicolinate reductase	
pelag10644	34	AAA280B11_00298	Endonuclease III	
pelag10645	34	AAA280B11_00301	hypothetical protein	
pelag10646	34	AAA280B11_00323	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	
pelag10647	34	AAA280B11_00325	Imidazoleglycerol-phosphate dehydratase	
pelag10648	34	AAA280P20_00630	RNA polymerase sigma factor RpoD	
pelag10649	34	AAA280B11_00435	hypothetical protein	
pelag10650	34	AAA288N07_00735	Glycine betaine transport ATP-binding protein OpuAA	
pelag10651	34	AAA280B11_00517	Putative O-methyltransferase/MSMEI_4947	
pelag10652	34	AAA280B11_00549	Homoserine/homoserine lactone efflux protein	
pelag10653	34	AAA280B11_00626	DNA gyrase subunit B	
pelag10654	34	AAA280B11_00629	putative adenylyltransferase/sulfurtransferase MoeZ	
pelag10655	34	AAA280B11_00630	hypothetical protein	
pelag10656	34	AAA288N07_00856	Transketolase 1	
pelag10657	34	AAA288N07_00283	Cell division protein FtsQ	
pelag10658	34	AAA280B11_00741	D-alanyl-D-alanine carboxypeptidase DacC	
pelag10659	34	AAA280B11_00749	DNA repair protein RecO	
pelag10660	34	AAA280B11_00770	Signal peptidase I	
pelag10661	34	AAA280P20_00019	Pyridoxine 5'-phosphate synthase	
pelag10662	34	AAA288N07_00897	ATP-dependent protease ATPase subunit HslU	
pelag10663	34	AAA280P20_00335	S-adenosylmethionine synthase	
pelag10664	34	AAA280P20_00508	Carboxylesterase 2	
pelag10665	34	AAA280P20_00519	RNA polymerase-binding transcription factor CarD	
pelag10666	34	AAA280P20_00624	Cell division protein FtsZ	
pelag10667	34	AAA280P20_00680	(R)-citramalate synthase	
pelag10668	34	AAA280P20_00681	Cysteine--tRNA ligase	
pelag10669	34	AAA280P20_00712	Single-stranded DNA-binding protein	
pelag10670	34	AAA280P20_00717	hypothetical protein	
pelag10671	34	AAA280P20_00718	Serine--tRNA ligase	
pelag10672	34	AAA280P20_00719	Sec-independent protein translocase protein TatC	
pelag10673	34	AAA280P20_00720	Sec-independent protein translocase protein TatB	
pelag10674	34	AAA280P20_00721	Sec-independent protein translocase protein TatA	
pelag10675	34	IMCC9063_00549	Ribonuclease P protein component	
pelag10676	34	AAA288G21_00043	Acyl-CoA dehydrogenase	
pelag10677	34	AAA288G21_00148	Phosphoglycerate kinase	
pelag10678	34	AAA288G21_00153	5-formyltetrahydrofolate cyclo-ligase	
pelag10679	34	AAA288G21_00154	hypothetical protein	
pelag10680	34	AAA288G21_00155	putative transcriptional regulatory protein	
pelag10681	34	AAA288G21_00200	hypothetical protein	
pelag10682	34	AAA288G21_00251	hypothetical protein	
pelag10683	34	AAA288G21_00293	hypothetical protein	
pelag10684	34	AAA288G21_00334	hypothetical protein	
pelag10685	34	AAA288G21_00404	Bifunctional ligase/repressor BirA	
pelag10686	34	AAA288G21_00534	hypothetical protein	
pelag10687	34	AAA288G21_00584	Inner membrane amino-acid ABC transporter permease protein YhdY	
pelag10688	34	AAA288N07_00107	Inner membrane amino-acid ABC transporter permease protein YecS	
pelag10689	34	AAA288N07_00474	Acetylglutamate kinase	
pelag10690	34	AAA288N07_00705	hypothetical protein	
pelag10691	34	AAA288N07_00807	Bifunctional enzyme IspD/IspF	
pelag10692	34	AAA288N07_00894	hypothetical protein	
pelag10693	34	AAA288N07_00916	hypothetical protein	
pelag10694	34	HIMB058_00064	hypothetical protein	
pelag10695	34	HIMB058_00551	Glycine cleavage system H protein	
pelag10696	34	HIMB058_00615	Penicillin-binding protein 1A	
